blockchain,date,created_safes
gnosis,2023-06-04,46
gnosis,2023-06-05,53
gnosis,2023-06-06,61
gnosis,2023-06-07,109
gnosis,2023-06-08,70
gnosis,2023-06-09,70
gnosis,2023-06-10,48
gnosis,2023-06-11,65
gnosis,2023-06-12,76
goerli,2023-04-13,102
goerli,2023-04-14,93
goerli,2023-04-15,116
goerli,2023-04-16,72
goerli,2023-04-17,114
goerli,2023-04-18,145
goerli,2023-04-19,147
goerli,2023-04-20,114
goerli,2023-04-21,118
goerli,2023-04-22,31
goerli,2023-04-23,41
goerli,2023-04-24,117
goerli,2023-04-25,146
goerli,2023-04-26,114
goerli,2023-04-27,99
goerli,2023-04-28,83
goerli,2023-04-29,34
goerli,2023-04-30,36
goerli,2023-05-01,59
goerli,2023-05-02,71
goerli,2023-05-03,80
goerli,2023-05-04,101
goerli,2023-05-05,52
goerli,2023-05-06,15
goerli,2023-05-07,3
goerli,2023-05-08,23
goerli,2023-05-09,87
goerli,2023-05-10,106
goerli,2023-05-11,71
goerli,2023-05-12,109
goerli,2023-05-13,81
goerli,2023-05-14,60
goerli,2023-05-15,67
goerli,2023-05-16,82
goerli,2023-05-17,90
goerli,2023-05-18,58
goerli,2023-05-19,61
goerli,2023-05-20,24
goerli,2023-05-21,27
goerli,2023-05-22,71
goerli,2023-05-23,100
goerli,2023-05-24,92
goerli,2023-05-25,90
goerli,2023-05-26,81
goerli,2023-05-27,25
goerli,2023-05-28,22
goerli,2023-05-29,76
goerli,2023-05-30,75
goerli,2023-05-31,80
goerli,2023-06-01,74
goerli,2023-06-02,84
goerli,2023-06-03,30
goerli,2023-06-04,27
goerli,2023-06-05,103
goerli,2023-06-06,79
goerli,2023-06-07,68
goerli,2023-06-08,58
goerli,2023-06-09,77
goerli,2023-06-10,47
goerli,2023-06-11,28
goerli,2023-06-12,143
optimism,2023-04-13,38
optimism,2023-04-14,44
optimism,2023-04-15,28
optimism,2023-04-16,34
optimism,2023-04-17,38
optimism,2023-04-18,31
optimism,2023-04-19,30
optimism,2023-04-20,31
optimism,2023-04-21,26
optimism,2023-04-22,19
optimism,2023-04-23,25
optimism,2023-04-24,27
optimism,2023-04-25,70
optimism,2023-04-26,44
optimism,2023-04-27,31
optimism,2023-04-28,36
optimism,2023-04-29,25
optimism,2023-04-30,25
optimism,2023-05-01,20
optimism,2023-05-02,26
optimism,2023-05-03,94
optimism,2023-05-04,30
optimism,2023-05-05,6
optimism,2023-05-06,6
optimism,2023-05-07,9
optimism,2023-05-08,12
optimism,2023-05-09,23
optimism,2023-05-10,11
optimism,2023-05-11,12
optimism,2023-05-12,15
optimism,2023-05-13,23
optimism,2023-05-14,3
optimism,2023-05-15,25
optimism,2023-05-16,35
optimism,2023-05-17,23
optimism,2023-05-18,28
optimism,2023-05-19,34
optimism,2023-05-20,25
optimism,2023-05-21,17
optimism,2023-05-22,32
optimism,2023-05-23,27
optimism,2023-05-24,39
optimism,2023-05-25,13
optimism,2023-05-26,17
optimism,2023-05-27,11
optimism,2023-05-28,22
optimism,2023-05-29,11
optimism,2023-05-30,12
optimism,2023-05-31,25
optimism,2023-06-01,50
optimism,2023-06-02,26
optimism,2023-06-03,36
optimism,2023-06-04,20
optimism,2023-06-05,53
optimism,2023-06-06,41
optimism,2023-06-07,387
optimism,2023-06-08,25
optimism,2023-06-09,30
optimism,2023-06-10,20
optimism,2023-06-11,26
optimism,2023-06-12,42
polygon,2023-04-13,7674
polygon,2023-04-14,7289
polygon,2023-04-15,7379
polygon,2023-04-16,5753
polygon,2023-04-17,6604
polygon,2023-04-18,7071
polygon,2023-04-19,6441
polygon,2023-04-20,7187
polygon,2023-04-21,7566
polygon,2023-04-22,6878
polygon,2023-04-23,6201
polygon,2023-04-24,5857
polygon,2023-04-25,5926
polygon,2023-04-26,6652
polygon,2023-04-27,4737
polygon,2023-04-28,4249
polygon,2023-04-29,5162
polygon,2023-04-30,6328
polygon,2023-05-01,4984
polygon,2023-05-02,5974
polygon,2023-05-03,6293
polygon,2023-05-04,7103
polygon,2023-05-05,6584
polygon,2023-05-06,6361
polygon,2023-05-07,5698
polygon,2023-05-08,8560
polygon,2023-05-09,16151
polygon,2023-05-10,28056
polygon,2023-05-11,17603
polygon,2023-05-12,13593
polygon,2023-05-13,10942
polygon,2023-05-14,11844
polygon,2023-05-15,18116
polygon,2023-05-16,19353
polygon,2023-05-17,14914
polygon,2023-05-18,12723
polygon,2023-05-19,14478
polygon,2023-05-20,15710
polygon,2023-05-21,15170
polygon,2023-05-22,12667
polygon,2023-05-23,12468
polygon,2023-05-24,12797
polygon,2023-05-25,13741
polygon,2023-05-26,9434
polygon,2023-05-27,14967
polygon,2023-05-28,10193
polygon,2023-05-29,10219
polygon,2023-05-30,12006
polygon,2023-05-31,11102
polygon,2023-06-01,11254
polygon,2023-06-02,12061
polygon,2023-06-03,10484
polygon,2023-06-04,10160
polygon,2023-06-05,10544
polygon,2023-06-06,11526
polygon,2023-06-07,10589
polygon,2023-06-08,9345
polygon,2023-06-09,9293
polygon,2023-06-10,10428
polygon,2023-06-11,9318
polygon,2023-06-12,8819
