blockchain,date,safe_txs
gnosis,2023-07-29 00:00:00.000 UTC,643
gnosis,2023-07-30 00:00:00.000 UTC,392
gnosis,2023-07-31 00:00:00.000 UTC,1000
gnosis,2023-08-01 00:00:00.000 UTC,1506
gnosis,2023-08-02 00:00:00.000 UTC,1193
gnosis,2023-08-03 00:00:00.000 UTC,858
gnosis,2023-08-04 00:00:00.000 UTC,1358
gnosis,2023-08-05 00:00:00.000 UTC,641
gnosis,2023-08-06 00:00:00.000 UTC,337
gnosis,2023-08-07 00:00:00.000 UTC,984
gnosis,2023-08-08 00:00:00.000 UTC,661
gnosis,2023-08-09 00:00:00.000 UTC,987
gnosis,2023-08-10 00:00:00.000 UTC,765
gnosis,2023-08-11 00:00:00.000 UTC,1066
gnosis,2023-08-12 00:00:00.000 UTC,428
optimism,2023-04-14 00:00:00.000 UTC,408
optimism,2023-04-15 00:00:00.000 UTC,371
optimism,2023-04-16 00:00:00.000 UTC,205
optimism,2023-04-17 00:00:00.000 UTC,182
optimism,2023-04-18 00:00:00.000 UTC,140
optimism,2023-04-19 00:00:00.000 UTC,132
optimism,2023-04-20 00:00:00.000 UTC,116
optimism,2023-04-21 00:00:00.000 UTC,150
optimism,2023-04-22 00:00:00.000 UTC,112
optimism,2023-04-23 00:00:00.000 UTC,69
optimism,2023-04-24 00:00:00.000 UTC,183
optimism,2023-04-25 00:00:00.000 UTC,247
optimism,2023-04-26 00:00:00.000 UTC,220
optimism,2023-04-27 00:00:00.000 UTC,240
optimism,2023-04-28 00:00:00.000 UTC,168
optimism,2023-04-29 00:00:00.000 UTC,132
optimism,2023-04-30 00:00:00.000 UTC,110
optimism,2023-05-01 00:00:00.000 UTC,181
optimism,2023-05-02 00:00:00.000 UTC,194
optimism,2023-05-03 00:00:00.000 UTC,221
optimism,2023-05-04 00:00:00.000 UTC,493
optimism,2023-05-05 00:00:00.000 UTC,240
optimism,2023-05-06 00:00:00.000 UTC,168
optimism,2023-05-07 00:00:00.000 UTC,74
optimism,2023-05-08 00:00:00.000 UTC,132
optimism,2023-05-09 00:00:00.000 UTC,177
optimism,2023-05-10 00:00:00.000 UTC,160
optimism,2023-05-11 00:00:00.000 UTC,148
optimism,2023-05-12 00:00:00.000 UTC,171
optimism,2023-05-13 00:00:00.000 UTC,88
optimism,2023-05-14 00:00:00.000 UTC,100
optimism,2023-05-15 00:00:00.000 UTC,133
